name:ID,type,concepts,synsets,numeric_id,:LABEL
CHANGXING_1 电厂,entity,[],[],0,Node
10 号机组,entity,[],[],1,Node
HAD 主系统,entity,[],[],2,Node
55 区域,entity,[],[],3,Node
设备 AA101,entity,[],[],4,Node
AA,entity,[],[],5,Node
101,entity,[],[],6,Node
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,entity,[],[],7,Node
10HAD55AA101XQ11XQ12,entity,[],[],8,Node
XQ11XQ12,entity,[],[],9,Node
中压汽包连排电动调节阀,entity,[],[],10,Node
%,entity,[],[],11,Node
MAD 主系统,entity,[],[],12,Node
13 区域,entity,[],[],13,Node
设备 CT014,entity,[],[],14,Node
CT,entity,[],[],15,Node
014,entity,[],[],16,Node
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,entity,[],[],17,Node
10MAD13CT014A232203OUT,entity,[],[],18,Node
A232203OUT,entity,[],[],19,Node
Output Value,entity,[],[],20,Node
null,entity,[],[],21,Node
HEFEI_1 电厂,entity,[],[],22,Node
01 号机组,entity,[],[],23,Node
LAC 主系统,entity,[],[],24,Node
20 区域,entity,[],[],25,Node
设备 BG112,entity,[],[],26,Node
BG,entity,[],[],27,Node
112,entity,[],[],28,Node
测点SGC.HEFEI_1.01LAC20BG112,entity,[],[],29,Node
01LAC20BG112,entity,[],[],30,Node
中压给水泵A驱动端径向轴承座Y向振动,entity,[],[],31,Node
设备 BG113,entity,[],[],32,Node
113,entity,[],[],33,Node
测点SGC.HEFEI_1.01LAC20BG113,entity,[],[],34,Node
01LAC20BG113,entity,[],[],35,Node
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,entity,[],[],36,Node
EC001,entity,[],[],37,Node
EC,entity,[],[],38,Node
001,entity,[],[],39,Node
DANYANG_2 电厂,entity,[],[],40,Node
20 号机组,entity,[],[],41,Node
10 区域,entity,[],[],42,Node
MAY 主系统,entity,[],[],43,Node
HEFEI_2 电厂,entity,[],[],44,Node
02 号机组,entity,[],[],45,Node
PAC 主系统,entity,[],[],46,Node
01 区域,entity,[],[],47,Node
设备 UC020,entity,[],[],48,Node
UC,entity,[],[],49,Node
020,entity,[],[],50,Node
SGC.HEFEI_2.02PAC01UC020XQ01,entity,[],[],51,Node
02PAC01UC020XQ01,entity,[],[],52,Node
XQ01,entity,[],[],53,Node
循环水泵2变频器柜电机电流,entity,[],[],54,Node
UC020,entity,[],[],55,Node
CHUZHOU_1 电厂,entity,[],[],56,Node
MBY 主系统,entity,[],[],57,Node
设备 DU061,entity,[],[],58,Node
DU,entity,[],[],59,Node
061,entity,[],[],60,Node
SGC.CHUZHOU_1.10MBY10DU061XQ01,entity,[],[],61,Node
10MBY10DU061XQ01,entity,[],[],62,Node
DU061,entity,[],[],63,Node
SGC.HEFEI_2.02PAC01UC020XQ02,entity,[],[],64,Node
02PAC01UC020XQ02,entity,[],[],65,Node
XQ02,entity,[],[],66,Node
循环水泵2变频器柜电机电压,entity,[],[],67,Node
ZHOUKOU_2 电厂,entity,[],[],68,Node
LAE 主系统,entity,[],[],69,Node
90 区域,entity,[],[],70,Node
设备 CF101,entity,[],[],71,Node
CF,entity,[],[],72,Node
SGC.ZHOUKOU_2.20LAE90CF101_COMP,entity,[],[],73,Node
20LAE90CF101_COMP,entity,[],[],74,Node
_COMP,entity,[],[],75,Node
DANYANG_2.21MBV30CP901XG02,entity,[],[],76,Node
MBV 主系统,entity,[],[],77,Node
